UF;Município;ID;num_processo;Vinculada;Termo/N_Convênio;Ano_Termo/Convênio;Programa;Fonte;Esfera;Tipologia;Situação_da_Obra;perc_informado_munic;Última_Vistoria_Instituição;perc_executado_empresa;Última_Vistoria_Empresa;Empresa;Restrições;Inconformidades
MT;Brasnorte;1008000;2,34E+16;NÃO;10232;2014;Cobertura;PAC2;Municipal;COBERTURA DE QUADRA ESCOLAR GRANDE - PROJETO FNDE;Execução;62.76%;02/08/2016;24.00%;04/jan;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
MT;Cáceres;1008001;2,34E+16;NÃO;9718;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Paralisada;43.09%;17/08/2016;44.31%;09/mar;PAULO GAIGA ENGENHARIA LTDA;SIM;SIM
MT;Cáceres;1008002;2,34E+16;NÃO;9718;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Paralisada;28.32%;17/08/2016;19.44%;18/mar;PAULO GAIGA ENGENHARIA LTDA;SIM;NÃO
MT;Castanheira;1008003;2,34E+16;NÃO;9707;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;85.40%;15/07/2016;56.07%;20/out;PAULO GAIGA ENGENHARIA LTDA;SIM;SIM
MT;Confresa;1008004;2,34E+16;NÃO;9708;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;54.15%;25/08/2016;17.50%;03/nov;PAULO GAIGA ENGENHARIA LTDA;SIM;SIM
MT;Feliz Natal;1008006;2,34E+16;NÃO;8319;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;60.87%;19/08/2016;27.43%;05/mar;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
MT;Ipiranga do Norte;1008007;2,34E+16;NÃO;11460;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;18.80%;05/08/2016;14.68%;01/ago;PAULO GAIGA ENGENHARIA LTDA;SIM;SIM
MT;Juara;1008008;2,34E+16;NÃO;9710;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;70.24%;26/07/2016;54.63%;30/set;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
MT;Matupá;1008009;2,34E+16;SIM;9711;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;20.45%;29/07/2016;0.00%;21/out;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
MT;Mirassol d'Oeste;1008010;2,34E+16;SIM;8320;2014;Cobertura;PAC2;Municipal;COBERTURA DE QUADRA ESCOLAR PEQUENA - PROJETO FNDE;Concluída;100.00%;04/04/2016;17.76%;11/fev;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
