"ID";"Nome";"Logradouro";"Município";"UF";"Percentual.de.Execução";"classificação_tb";"total_repassado";"Empresa.Contratada"
1014051;"Barra do Joazeiro - Itueta - MG";"Zona Rural Rua Henrique Neitzel";"Itueta";"MG";87,23;"atrasada";931964,3688855;"(09546444000100) GV ESTRUTURAS METALICAS LTDA"
1014061;"ESCOLA RURAL BELA VISTA - Água Boa - MT";"Rua Principal";"Água Boa";"MT";87,53;"atrasada";838275,777384875;"(06077372000100) CONSTRUTORA ACOLAMB LTDA"
1014096;"Terreno da Cerâmica - Tenório - PB";"Rua 14 de Agosto";"Tenório";"PB";36,5;"atrasada";294540,69228583;"(14575353000124) VIGA - ENGENHARIA LTDA"
1014101;"Escola Nova Bom Lugar - Campo Maior - PI";"Localidade Bom Lugar";"Campo Maior";"PI";34,89;"atrasada";240717,691386834;"(01640947000120) OASIS CONSTRUCOES E CONSULTORIA LTDA"
1014108;"Escola Municipal Clotário Portugal - Arapoti - PR";"Rua  Projetada ";"Arapoti";"PR";92,01;"atrasada";3685356,87847238;"(10704562000170) ALMEIDA GROUP DISTRIBUICAO DE MATERIAIS DE CONSTRUCAO LTDA."
1014110;"Chácara Cofercatu - Centenário do Sul - PR";"RUA NICESIO FERREIRA MARTINS";"Centenário do Sul";"PR";24,49;"atrasada";240717,691386834;"(09511396000106) AMK CONSTRUTORA DE OBRAS LTDA."
1014122;"Lote 1,21,22,23,24 Quadra25 - Guaíra - PR";"Rua Progresso";"Guaíra";"PR";90,19;"atrasada";979146,208003335;"(11478001000162) BATTISTI & COLPO LTDA"
1014139;"Centro - Iporã - PR";"Rua  Machado de assis";"Iporã";"PR";96,95;"atrasada";3870642,24773419;"(00557226000198) E M KAMI & CIA LTDA"
1014140;"WOLF - Tapes - RS";"Rua Livio Araujo";"Tapes";"RS";94;"atrasada";982568,727332449;"(18702136000109) GP FRANCISCO CONSTRUCOES LTDA  - ME"
1014160;"Escola Terra Nova - São Jerônimo da Serra - PR";"Rua Principal";"São Jerônimo da Serra";"PR";24,54;"atrasada";247237,087641336;"(03466072000117) GIDO COMERCIO DE MATERIAIS ELETRICOS E HIDRAULICOS LTDA"
1014169;"Reserva Institucional da Prefeitura Municipal - Matrícula 3.621 - Iomerê - SC";"Rua Joao Rech";"Iomerê";"SC";75,98;"atrasada";842509,0461922;"(73461196000195) CONSTRUTORA E INCORPORADORA GG BRUSCHI LTDA"
1014172;"PREFEITURA MUNICIPAL DE LONTRAS - Lontras - SC";"LEOBERTO LEAL";"Lontras";"SC";58,52;"atrasada";2413903,73196785;"(06123883000103) CONSTRULACER-COMERCIO E CONSTRUCOES LACERDOPOLIS LTDA"
1014175;"Iperoba - São Francisco do Sul - SC";"Rodovia Duque de Caxias";"São Francisco do Sul";"SC";27,8;"atrasada";1130390,93429829;"(18985854000130) ARKA EMPREENDIMENTOS LTDA - EPP"
1014177;"Pac 2 Construção de Prédio Escolar Ensino Fundamental - Tangará - SC";"Rua Henrique Martelli";"Tangará";"SC";53,45;"atrasada";2198960,06563678;"(04312923000130) G. L. CONSTRUTORA E INCORPORADORA LTDA."
1014178;"GEM HORIZONTE II - Zortéa - SC";"Rua Alceu Bortoli";"Zortéa";"SC";96,06;"atrasada";926937,498351859;"(06123883000103) CONSTRULACER-COMERCIO E CONSTRUCOES LACERDOPOLIS LTDA"
1014191;"Escola Municipal Rural - Porto Vera Cruz - RS";"Lajeado Cafundó- RST 575";"Porto Vera Cruz";"RS";97,67;"atrasada";255896,054595387;"(16756411000141) ARI DOS SANTOS CONSTRUCAO - ME"
1014305;"Creche Santa Helena";"ESTRADA DO QUEBRA POTE";"São Luís";"MA";0;"atrasada";180973,708215019;"(11109254000169) ENGETECH CONSTRUTORA LTDA"
1014306;"Creche COHAB IV";"Rua 13";"São Luís";"MA";0;"atrasada";180973,708215019;"(08369786000120) MPA CONSTRUÇOES E PARTICIPAÇÕES LTDA"
1014307;"Vila Romário";"Rua Betel";"São Luís";"MA";0;"atrasada";180973,708215019;"(12772863000166) R & G VERDE CONSTRUCOES LTDA - ME  - ME"
1014308;"Creche CARACUEIRA";"Rua Epitácio Cafeteira";"São Luís";"MA";0;"atrasada";180973,708215019;"(08369786000120) MPA CONSTRUÇOES E PARTICIPAÇÕES LTDA"
1014309;"CRECHE ARRAIAL";"ESTRADA PARA O ARRAIAL";"São Luís";"MA";0;"atrasada";180973,708215019;"(08369786000120) MPA CONSTRUÇOES E PARTICIPAÇÕES LTDA"
1014311;"Itapera";"Rua da Paz";"São Luís";"MA";0;"atrasada";180973,708215019;"(12772863000166) R & G VERDE CONSTRUCOES LTDA - ME  - ME"
1014312;"CRECHE LUIZ BACELAR";"RUA ANGÉLICA FARIAS";"São Luís";"MA";0;"atrasada";180919,428768;"(12772863000166) R & G VERDE CONSTRUCOES LTDA - ME  - ME"
1014313;"Creche - Ribeira 2";"RUA SEM DENOMINAÇÃO";"São Luís";"MA";0;"atrasada";275773,361656;"(06307102000211) PALMARES CONSTRUCOES LTDA"
