"Município";"UF";"total_obras";"gasto_total_mi";"obras_atrasadas";"perc_atrasada";"gasto_atrasadas_mi";"obras_paralisadas";"perc_paralisada";"gasto_paralisadas_mi"
"Tramandaí";"RS";1;0,91;0;0;NA;1;1;0,91
"Tremedal";"BA";1;0,39;1;1;0,39;NA;NA;NA
"Tremembé";"SP";2;0,68;0;0;NA;NA;NA;NA
"Três Arroios";"RS";1;0,21;0;0;NA;NA;NA;NA
"Três Barras";"SC";1;1,1;1;1;1,1;NA;NA;NA
"Três Barras do Paraná";"PR";1;0,78;0;0;NA;NA;NA;NA
"Três Corações";"MG";4;1,47;3;0,75;1,2;NA;NA;NA
"Três Pontas";"MG";2;0,94;1;0,5;0,47;NA;NA;NA
"Três Rios";"RJ";1;0,42;0;0;NA;NA;NA;NA
"Treze Tílias";"SC";1;0,85;1;1;0,85;NA;NA;NA
"Trindade";"GO";3;1,95;0;0;NA;NA;NA;NA
"Trindade";"PE";1;0,86;1;1;0,86;NA;NA;NA
"Triunfo";"PE";1;1,45;0;0;NA;NA;NA;NA
"Triunfo Potiguar";"RN";1;0,95;0;0;NA;1;1;0,95
"Trizidela do Vale";"MA";1;0,5;0;0;NA;NA;NA;NA
"Trombudo Central";"SC";1;0,86;0;0;NA;1;1;0,86
"Tucunduva";"RS";1;1,11;0;0;NA;NA;NA;NA
"Tucuruí";"PA";5;3,69;0;0;NA;4;0,8;3,14
"Tufilândia";"MA";3;1,15;1;0,33;0,04;2;0,67;1,11
"Tuneiras do Oeste";"PR";1;0,93;0;0;NA;1;1;0,93
"Tupã";"SP";1;0,66;0;0;NA;NA;NA;NA
"Tupaciguara";"MG";2;2,01;0;0;NA;2;1;2,01
"Tupanatinga";"PE";5;2,4;0;0;NA;NA;NA;NA
"Tupanciretã";"RS";1;0,24;0;0;NA;NA;NA;NA
"Tuparetama";"PE";1;1,65;0;0;NA;1;1;1,65
"Tupiratins";"TO";1;0,42;0;0;NA;NA;NA;NA
"Turiaçu";"MA";3;1,98;2;0,67;1,08;1;0,33;0,9
"Tutóia";"MA";2;0,52;0;0;NA;1;0,5;0,26
"Uarini";"AM";1;1,46;0;0;NA;1;1;1,46
"Uauá";"BA";1;0,98;0;0;NA;NA;NA;NA
"Ubá";"MG";2;1,91;0;0;NA;NA;NA;NA
"Ubaporanga";"MG";1;0,55;0;0;NA;NA;NA;NA
"Uberaba";"MG";2;1,22;0;0;NA;NA;NA;NA
"Uberlândia";"MG";20;28,64;0;0;NA;1;0,05;1,63
"Ubiratã";"PR";1;1;0;0;NA;NA;NA;NA
"Uiramutã";"RR";1;0,8;0;0;NA;1;1;0,8
"Uiraúna";"PB";1;1,36;0;0;NA;1;1;1,36
"Ulianópolis";"PA";1;1,85;0;0;NA;NA;NA;NA
"Umari";"CE";1;0,84;0;0;NA;1;1;0,84
"Umirim";"CE";1;1,67;0;0;NA;1;1;1,67
"Umuarama";"PR";2;1,51;0;0;NA;NA;NA;NA
"Una";"BA";2;1,16;0;0;NA;1;0,5;0,54
"Unaí";"MG";3;1,86;0;0;NA;NA;NA;NA
"União da Vitória";"PR";2;1,74;0;0;NA;NA;NA;NA
"Unistalda";"RS";1;0,81;0;0;NA;NA;NA;NA
"Urbano Santos";"MA";4;2,2;0;0;NA;3;0,75;1,46
"Uruaçu";"GO";2;2,94;0;0;NA;NA;NA;NA
"Uruana";"GO";1;0,43;0;0;NA;NA;NA;NA
"Uruará";"PA";2;1,87;0;0;NA;2;1;1,87
"Uruburetama";"CE";2;2,36;0;0;NA;1;0,5;1,27
"Uruçuca";"BA";1;0,98;0;0;NA;NA;NA;NA
"Urucuia";"MG";2;1,16;0;0;NA;1;0,5;0,91
"Urucurituba";"AM";4;3,64;1;0,25;0,29;3;0,75;3,35
"Uruoca";"CE";1;0,63;0;0;NA;1;1;0,63
"Urupema";"SC";1;0,42;0;0;NA;NA;NA;NA
"Urussanga";"SC";1;0,76;0;0;NA;1;1;0,76
"Utinga";"BA";1;0,29;1;1;0,29;NA;NA;NA
"Vale do Sol";"RS";1;0,49;1;1;0,49;NA;NA;NA
"Valença";"BA";2;0,97;1;0,5;0,49;NA;NA;NA
"Valinhos";"SP";1;0,36;0;0;NA;NA;NA;NA
"Valparaíso de Goiás";"GO";7;3,93;0;0;NA;5;0,71;3,06
"Vargem Alta";"ES";1;0,18;0;0;NA;NA;NA;NA
"Vargem Grande";"MA";3;0,81;2;0,67;0,53;NA;NA;NA
"Vargem Grande do Sul";"SP";1;0,37;0;0;NA;1;1;0,37
"Varginha";"MG";1;0,17;0;0;NA;NA;NA;NA
"Várzea Branca";"PI";3;2,41;0;0;NA;3;1;2,41
"Várzea da Palma";"MG";1;0,42;0;0;NA;1;1;0,42
"Várzea Grande";"MT";15;6,97;0;0;NA;2;0,13;0,81
"Várzea Paulista";"SP";1;1,5;0;0;NA;1;1;1,5
"Varzelândia";"MG";1;0,9;0;0;NA;1;1;0,9
"Vassouras";"RJ";1;0,84;0;0;NA;1;1;0,84
"Vazante";"MG";1;0,47;0;0;NA;NA;NA;NA
"Venâncio Aires";"RS";1;0,46;0;0;NA;NA;NA;NA
"Vera Cruz";"BA";1;1,72;0;0;NA;1;1;1,72
"Veranópolis";"RS";2;1,3;0;0;NA;1;0,5;1,11
"Verê";"PR";1;0,74;0;0;NA;NA;NA;NA
"Veríssimo";"MG";1;0,64;0;0;NA;1;1;0,64
"Vespasiano";"MG";4;1,54;0;0;NA;NA;NA;NA
"Viamão";"RS";1;0,44;0;0;NA;1;1;0,44
"Viana";"ES";2;1,34;1;0,5;0,85;NA;NA;NA
"Vianópolis";"GO";1;1,66;0;0;NA;1;1;1,66
"Vicência";"PE";2;0,82;1;0,5;0,42;NA;NA;NA
"Vicente Dutra";"RS";1;0,76;0;0;NA;NA;NA;NA
"Viçosa";"AL";2;0,9;0;0;NA;2;1;0,9
"Viçosa";"MG";1;0,86;0;0;NA;1;1;0,86
"Viçosa do Ceará";"CE";2;1,35;1;0,5;0,83;NA;NA;NA
"Vigia";"PA";1;0,56;1;1;0,56;NA;NA;NA
"Vila Nova dos Martírios";"MA";1;1,77;0;0;NA;1;1;1,77
"Vila Rica";"MT";4;0,46;1;0,25;0,11;3;0,75;0,35
"Vila Valério";"ES";1;0,95;0;0;NA;1;1;0,95
"Vila Velha";"ES";7;4,1;0;0;NA;3;0,43;1,59
"Vilhena";"RO";1;0,52;0;0;NA;NA;NA;NA
"Virginópolis";"MG";1;0,25;0;0;NA;NA;NA;NA
"Visconde do Rio Branco";"MG";1;1,08;0;0;NA;NA;NA;NA
"Viseu";"PA";13;6,86;0;0;NA;NA;NA;NA
"Vitória";"ES";2;1,82;1;0,5;0,91;NA;NA;NA
"Vitória da Conquista";"BA";8;4,03;1;0,12;0,8;NA;NA;NA
"Vitória de Santo Antão";"PE";5;2,28;1;0,2;0,64;1;0,2;0,42
"Vitória do Jari";"AP";1;0,19;0;0;NA;NA;NA;NA
"Vitória do Mearim";"MA";1;0,91;0;0;NA;NA;NA;NA
"Volta Redonda";"RJ";3;1,72;0;0;NA;1;0,33;0,42
"Votuporanga";"SP";1;1,12;0;0;NA;NA;NA;NA
"Wanderlândia";"TO";1;0,79;0;0;NA;NA;NA;NA
"Wanderley";"BA";1;0,97;0;0;NA;1;1;0,97
"Wenceslau Guimarães";"BA";2;1,51;0;0;NA;2;1;1,51
"Xambioá";"TO";1;0,93;0;0;NA;NA;NA;NA
"Xaxim";"SC";1;0,85;0;0;NA;1;1;0,85
"Xinguara";"PA";2;2,37;0;0;NA;NA;NA;NA
"Xique-Xique";"BA";3;2,84;1;0,33;0,66;1;0,33;0,83
"Zé Doca";"MA";10;2,49;5;0,5;2,38;2;0,2;0,02
